side_effect,n_instance,auprc,auroc,ap
33.0,506.0,0.8335114073350874,0.8704322829602087,0.8345310568768386
34.0,210.0,0.8838937246235591,0.9141043083900227,0.8850906393292057
35.0,172.0,0.8226537346454459,0.8712141698215252,0.8266177042497102
36.0,1016.0,0.8155925895411043,0.8571090892181785,0.8172889562852965
37.0,1406.0,0.785753568381483,0.8393017933708209,0.7870424455566694
38.0,836.0,0.8520819007171053,0.8824288592294132,0.8532114262027406
39.0,156.0,0.8492088859729066,0.8616042077580539,0.851115826712044
40.0,336.0,0.8358116167423745,0.872360402494331,0.8402673429368117
41.0,798.0,0.8161757563203185,0.8551548043039932,0.8179842170029007
42.0,680.0,0.7961303868771099,0.8448140138408305,0.7975065189931798
43.0,882.0,0.827653417494135,0.8653647400003085,0.8282307544912026
44.0,2834.0,0.7742831975294129,0.8233359762417146,0.7746632807585015
45.0,786.0,0.7847197214542841,0.8539032301924907,0.7869813265442509
46.0,1156.0,0.7993693729423128,0.8509656254115732,0.8002219452640564
47.0,700.0,0.8150649605073085,0.8536448979591836,0.8160045741180117
48.0,954.0,0.8185178898468586,0.8619110091460869,0.8190760615644637
49.0,194.0,0.8294852919529389,0.8829312360505899,0.8367630208379391
50.0,1420.0,0.7813918914222224,0.8214709383058918,0.7818767647219569
51.0,2220.0,0.7809055956913377,0.8296505965424885,0.7814163477695082
52.0,1858.0,0.7653251003320857,0.8164026969749989,0.7659012170906102
53.0,690.0,0.8127317354698761,0.8333249317370299,0.8133822285948252
54.0,1130.0,0.7483006444155869,0.8115310517659958,0.7491662925812465
55.0,288.0,0.8985593246709522,0.9129533179012346,0.8991169433666898
56.0,1024.0,0.7943512625037885,0.8350906372070312,0.7949588280260735
57.0,558.0,0.8054104367763166,0.8418378489484977,0.806664010695764
58.0,1428.0,0.7669025647923008,0.8146248695556654,0.7674437572958208
59.0,660.0,0.8471066899716121,0.8811340679522498,0.8491208441784075
60.0,2040.0,0.7994169884952669,0.8401028450595924,0.7997419662262739
61.0,754.0,0.8383531941416921,0.8719156540888912,0.8389609464177056
62.0,1922.0,0.7748780143523899,0.8267600303620601,0.7757950621403871
63.0,734.0,0.8553851489670892,0.8832013007743765,0.8559256306865555
64.0,812.0,0.839305004238499,0.878002984784877,0.8399935814900491
65.0,1120.0,0.7377885145706369,0.7989301658163266,0.739465462373966
66.0,2386.0,0.7626480430462912,0.8088206982755652,0.7631066799084347
67.0,1194.0,0.7728707213894984,0.8279224149782974,0.7737309846277403
68.0,996.0,0.8109453587743441,0.8517110611119176,0.8115706936730976
69.0,736.0,0.830945797568973,0.8610918301039698,0.8315404428456457
70.0,1836.0,0.7880045047702227,0.8338091712114524,0.7883952462095043
71.0,1586.0,0.7875402241107095,0.8318348283928256,0.7882311028454173
72.0,1364.0,0.7866583824362041,0.8434460487955902,0.7886056585492951
73.0,1224.0,0.8246615759905142,0.871131295655517,0.8252529020026714
74.0,1642.0,0.7739362346363436,0.8196304082392614,0.774336922548652
75.0,1994.0,0.7835520799216368,0.8232171439091598,0.7840510616483379
76.0,476.0,0.8834398583596001,0.9067068003672057,0.8839738295587947
77.0,1322.0,0.790601269780017,0.8364933248802414,0.7917571669795536
78.0,796.0,0.8296844903076064,0.8777177344006464,0.8315859508537718
79.0,576.0,0.8243749502169977,0.8729323398919754,0.8258593339867832
80.0,1582.0,0.8095574601647859,0.8432116366007599,0.8099524676974104
81.0,214.0,0.8653260873068752,0.875840684775963,0.8662281438201316
82.0,384.0,0.8557233596923643,0.8971761067708333,0.8568550751088965
